"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Thomas Longboat","0","M","","00:05:30","2:24:24","1","1","1",8664,"Thomas","Longboat"
"Robert A Fowler","0","M","","00:05:38","2:27:54","2","2","2",8874,"Robert A Fowler",""
"John J Hayes","0","M","","00:05:44","2:30:38","3","3","3",9038,"John J Hayes",""
"James W OOMara","0","M","","00:05:56","2:35:37","4","4","4",9337,"James W OOMara",""
"James J Lee","0","M","","00:05:57","2:36:04","5","5","5",9364,"James J Lee",""
"Charles E Petch","0","M","","00:05:58","2:36:47","6","6","6",9407,"Charles E Petch",""
"Sidney Hatch","0","M","","00:05:59","2:37:11","7","7","7",9431,"Sidney","Hatch"
"John Neary","0","M","","00:06:01","2:37:59","8","8","8",9479,"John","Neary"
"John Lindquist","0","M","","00:06:03","2:38:58","9","9","9",9538,"John","Lindquist"
"Carl D Schlobohm","0","M","","00:06:10","2:42:02","10","10","10",9722,"Carl D Schlobohm",""
